Index,long,lat,B04
357,40.545517528595035,-121.21383681725536,622
358,40.42911005924886,-120.6402516759018,1396
359,39.95960690695623,-120.8439017206685,337
360,40.28516969893636,-121.33434387844942,575
361,40.00864196590289,-121.01164459877211,1204
362,40.27733240417097,-121.26090618648637,260
363,39.71088910236569,-121.64279189716639,935
364,39.849206071121195,-120.98165687580783,402
365,40.607847024606606,-121.77244436243937,561
366,40.450710895973096,-120.85657871081267,722
367,39.73668073380809,-120.55529943953142,374
368,40.503825320645994,-121.11286172882119,606
369,39.990008419063464,-120.98641842880954,368
370,39.65640406310807,-121.41038480322588,716
371,40.261258902009345,-121.25837815897307,368
372,40.038518835004666,-120.97854547202327,216
373,40.450865445086244,-121.11340114479334,343
374,40.57306248900036,-121.25374315592107,606
375,40.13025856746672,-120.89438025192172,1664
376,40.189860316493075,-121.29133539447743,233
377,39.70174077868453,-120.66534607234128,265
378,39.98792373346361,-121.42814114603034,259
379,40.60469703786969,-120.66363029396737,1060
380,39.69679679971529,-120.79962581876855,412
381,40.2507693432944,-121.73353552650883,444
382,40.52917773643276,-120.61785508967337,710
383,39.857750590882446,-120.84569131622729,131
384,40.19399411003093,-120.89687335726501,203
385,40.037383655016534,-120.65100400496408,584
386,40.38424821215545,-121.26581613974949,264
387,40.52718423329443,-121.42092216270927,1036
388,40.212533902614865,-121.00264103318396,475
389,40.218024311078324,-120.61257682726729,409
390,40.00632427328872,-120.61669179257133,329
391,39.77609623457494,-121.02080707241942,916
392,39.91291290988596,-121.09970279923985,159
393,39.773500774298114,-121.02181546589712,660
394,39.672164984894756,-121.01759845521988,941
395,40.50623440242998,-120.61477310051947,886
396,39.94970993537474,-121.33045424070819,398
397,40.1671778508717,-120.70407021867548,529
398,40.200685203147245,-121.2801373021461,655
399,39.94408230895187,-121.45747078013525,259
400,40.42954338652107,-120.60440190930008,1068
401,40.00310706673799,-121.25523395323165,178
402,40.07465061655762,-121.81103912779773,1466
403,40.14905150133279,-121.41821011921655,612
404,40.31847138357464,-121.48958577508961,519
405,40.26038269670146,-121.12176174030641,39
406,39.909827368020686,-120.56821946146972,1338
407,40.24889368671159,-121.16934221688201,17
408,40.29096372012769,-121.08585795232668,477
409,40.07891102362319,-121.60349450135271,209
410,39.93849344568376,-121.74048223886987,415
411,40.07089809047643,-120.96527590283848,302
412,40.09203857503164,-121.11244057434266,780
413,39.81331331423554,-120.93352615691303,735
414,39.86412270095844,-120.67200678794343,576
415,40.348060616824235,-121.60019490585904,1068
416,40.2666651689086,-121.74547002027627,270
417,39.72863145382958,-121.75469508857866,1564
418,39.9521190623288,-121.03587492737061,322
419,40.16992752237134,-120.89115807181946,690
420,40.20591086621469,-121.1686194754328,372
421,40.03776060033045,-121.37062019268197,252
422,40.05922402653307,-121.00888492022423,256
423,40.42852457492576,-121.75932491719318,858
424,39.72609954027903,-121.53048102417651,1296
425,39.97495290243912,-120.66426760738939,505
426,39.68904325468681,-121.02469535238843,269
