Index,long,lat,B04,B02,SCL,B03,B08
397,-120.70407021867548,40.1671778508717,529,337,4,513,1932
398,-121.2801373021461,40.200685203147245,655,413,4,644,2506
399,-121.45747078013525,39.94408230895187,259,273,4,479,2901
400,-120.60440190930008,40.42954338652107,1068,661,5,832,1471
401,-121.25523395323165,40.00310706673799,178,143,4,375,3674
402,-121.81103912779773,40.07465061655762,1466,689,5,1001,2154
403,-121.41821011921655,40.14905150133279,612,363,4,576,2378
404,-121.48958577508961,40.31847138357464,519,294,4,501,2559
405,-121.12176174030641,40.26038269670146,39,180,6,139,18
406,-120.56821946146972,39.909827368020686,1338,760,5,1032,2343
407,-121.16934221688201,40.24889368671159,17,126,6,135,15
408,-121.08585795232668,40.29096372012769,477,235,4,396,1930
409,-121.60349450135271,40.07891102362319,209,186,4,433,2886
410,-121.74048223886987,39.93849344568376,415,256,4,594,3521
